idtyp,idsubj,sequencePC,period,belief,contribution,subject,idsess,group,otherscontrib,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,u,predictedcontribution,half
3,119,1,10,1,0,19,1,1,0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,0,2
1,103,1,1,8,5,3,1,2,4,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,1
1,116,1,1,5,3,16,1,2,5,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,1,1
2,112,1,1,4,0,12,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,111,1,1,6,10,11,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,117,1,2,12,14,17,1,2,11,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,4,1
1,124,1,2,10,0,24,1,2,16,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,2,1
2,102,1,2,3,20,2,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,113,1,2,14,14,13,1,2,11,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,12,1
3,107,1,3,11,0,7,1,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
1,109,1,3,8,8,9,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,8,1
2,102,1,3,3,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,121,1,3,5,7,21,1,2,3,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,5,1
1,106,1,4,8,13,6,1,2,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,101,1,4,5,5,1,1,2,10,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,5,1
2,111,1,4,6,10,11,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,108,1,4,12,6,8,1,2,9,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,15,1
1,103,1,5,8,8,3,1,2,0,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,1
1,115,1,5,3,1,15,1,2,3,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,1,1
1,124,1,5,6,0,24,1,2,3,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,1,1
2,112,1,5,8,0,12,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,101,1,6,10,10,1,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,10,2
2,123,1,6,8,0,23,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2
1,114,1,6,7,5,14,1,2,4,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,5,2
1,106,1,6,5,1,6,1,2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,120,1,7,8,0,20,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
1,101,1,7,16,15,1,1,2,7,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,2
1,115,1,7,1,0,15,1,2,12,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,0,2
1,118,1,7,4,20,18,1,2,5,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,0,2
1,116,1,8,2,0,16,1,2,4,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,0,2
1,121,1,8,6,8,21,1,2,2,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,6,2
1,110,1,8,4,0,10,1,2,4,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,3,2
1,109,1,8,2,5,9,1,2,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,2,2
3,105,1,9,3,0,5,1,2,9,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,1,2
1,118,1,9,2,20,18,1,2,3,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,0,2
1,101,1,9,12,8,1,1,2,7,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,12,2
1,124,1,9,1,0,24,1,2,9,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,0,2
1,121,1,10,4,0,21,1,2,0,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,2
1,109,1,10,2,0,9,1,2,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,2,2
3,113,1,10,1,0,13,1,2,0,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,0,2
2,104,1,10,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,110,1,1,11,15,10,1,3,8,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,11,1
1,115,1,1,3,3,15,1,3,12,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,1,1
1,118,1,1,13,20,18,1,3,6,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,10,1
1,106,1,1,7,1,6,1,3,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,103,1,2,5,0,3,1,3,10,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,6,1
1,118,1,2,8,20,18,1,3,3,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,5,1
1,109,1,2,10,10,9,1,3,7,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,10,1
3,119,1,2,6,0,19,1,3,10,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,2,1
1,115,1,3,5,5,15,1,3,4,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,3,1
1,110,1,3,13,13,10,1,3,2,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,13,1
2,112,1,3,12,0,12,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,104,1,3,6,0,4,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,115,1,4,4,4,15,1,3,2,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,2,1
1,121,1,4,1,0,21,1,3,3,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,1
1,116,1,4,6,6,16,1,3,1,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,2,1
3,107,1,4,11,0,7,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
1,116,1,5,2,2,16,1,3,4,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,0,1
1,106,1,5,7,1,6,1,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,108,1,5,9,6,8,1,3,3,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,10,1
1,121,1,5,1,5,21,1,3,3,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,1
3,113,1,6,8,8,13,1,3,4,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,7,2
2,120,1,6,11,12,20,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
2,102,1,6,5,0,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,119,1,6,17,0,19,1,3,7,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,1,2
1,109,1,7,4,4,9,1,3,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,4,2
3,117,1,7,10,2,17,1,3,2,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,3,2
1,106,1,7,5,1,6,1,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,122,1,7,1,0,22,1,3,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,1,2
2,102,1,8,0,0,2,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,115,1,8,5,4,15,1,3,7,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,3,2
1,118,1,8,5,20,18,1,3,1,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,5,2
2,104,1,8,4,0,4,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,107,1,9,0,0,7,1,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
1,122,1,9,0,0,22,1,3,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,0,2
1,114,1,9,6,5,14,1,3,0,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,5,2
3,113,1,9,2,0,13,1,3,2,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,0,2
3,117,1,10,2,2,17,1,3,1,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,1,2
1,110,1,10,2,0,10,1,3,2,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,2,2
1,114,1,10,4,3,14,1,3,1,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,5,2
2,111,1,10,1,0,11,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,105,1,1,4,2,5,1,4,10,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,2,1
1,122,1,1,3,0,22,1,4,11,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,3,1
1,121,1,1,10,10,21,1,4,7,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,10,1
2,120,1,1,12,20,20,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
1,115,1,2,6,7,15,1,4,4,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,3,1
1,101,1,2,11,10,1,1,4,3,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,11,1
2,104,1,2,7,0,4,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,106,1,2,7,1,6,1,4,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,101,1,3,15,15,1,1,4,5,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,1
1,122,1,3,12,15,22,1,4,5,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,12,1
3,119,1,3,15,0,19,1,4,10,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,2,1
1,106,1,3,7,1,6,1,4,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,119,1,4,15,0,19,1,4,6,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,2,1
2,102,1,4,4,0,2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,122,1,4,8,3,22,1,4,5,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,8,1
3,117,1,4,12,15,17,1,4,1,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,4,1
2,104,1,5,6,0,4,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,113,1,5,7,10,13,1,4,7,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,5,1
1,118,1,5,5,20,18,1,4,4,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,5,1
1,122,1,5,3,2,22,1,4,10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,3,1
1,116,1,6,4,3,16,1,4,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,1,2
2,112,1,6,8,0,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,103,1,6,2,0,3,1,4,1,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,3,2
1,115,1,6,2,1,15,1,4,1,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,1,2
3,113,1,7,5,5,13,1,4,2,0,0,0,1,2,3,4,5,7,8,9,9,10,11,12,14,15,15,0,0,0,10,3,2
2,104,1,7,6,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,124,1,7,4,0,24,1,4,4,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,0,2
1,110,1,7,5,6,10,1,4,2,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,2
1,108,1,8,8,9,8,1,4,6,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,5,2
1,101,1,8,14,15,1,1,4,4,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,2
2,123,1,8,2,0,23,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2
3,117,1,8,2,2,17,1,4,8,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,1,2
1,121,1,9,2,0,21,1,4,0,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,2
1,106,1,9,1,1,6,1,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,119,1,9,1,0,19,1,4,0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,0,2
1,110,1,9,4,0,10,1,4,0,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,3,2
3,107,1,10,1,0,7,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,2
1,115,1,10,10,0,15,1,4,0,0,0,1,1,2,3,3,4,5,5,6,7,8,9,10,12,12,13,15,19,20,7,6,2
2,120,1,10,1,0,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
1,116,1,10,1,0,16,1,4,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,0,2
2,104,1,1,10,0,4,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,119,1,1,8,2,19,1,5,2,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,2,1
3,107,1,1,6,5,7,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
2,102,1,1,5,2,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,123,1,2,7,5,23,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
2,112,1,2,5,0,12,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,121,1,2,12,14,21,1,5,5,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,12,1
1,114,1,2,12,10,14,1,5,6,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,6,1
2,123,1,3,4,0,23,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
3,105,1,3,11,9,5,1,5,5,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,4,1
2,111,1,3,7,10,11,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,116,1,3,9,6,16,1,5,6,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,3,1
1,124,1,4,8,0,24,1,5,7,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,10,1,1
1,114,1,4,8,7,14,1,5,4,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,6,1
3,105,1,4,10,3,5,1,5,6,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,3,1
1,103,1,4,8,10,3,1,5,3,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,1
3,105,1,5,9,6,5,1,5,3,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,3,1
2,102,1,5,5,0,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,110,1,5,9,10,10,1,5,2,0,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,9,1
3,119,1,5,18,0,19,1,5,5,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,2,2,1,1,0,0,4,1,1
1,121,1,6,2,5,21,1,5,3,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,2
3,117,1,6,11,2,17,1,5,4,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,3,2
1,118,1,6,3,0,18,1,5,5,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,0,2
1,109,1,6,8,8,9,1,5,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,8,2
1,108,1,7,6,8,8,1,5,5,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,5,2
3,107,1,7,4,0,7,1,5,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
1,121,1,7,3,6,21,1,5,6,0,0,0,0,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,0,2
1,114,1,7,9,10,14,1,5,5,0,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,20,5,6,2
2,120,1,8,8,0,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2
1,103,1,8,2,0,3,1,5,0,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,3,2
1,106,1,8,3,1,6,1,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,111,1,8,3,0,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,104,1,9,6,0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,109,1,9,3,2,9,1,5,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,3,2
2,102,1,9,5,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,117,1,9,7,2,17,1,5,1,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,3,2,1,1,0,0,18,3,2
3,105,1,10,3,0,5,1,5,7,0,0,0,1,2,2,2,3,3,3,3,4,4,3,3,2,2,1,1,0,0,10,1,2
2,123,1,10,1,1,23,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2
1,118,1,10,2,20,18,1,5,0,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,20,0,2
1,108,1,10,0,0,8,1,5,7,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,0,2
1,108,1,1,12,12,8,1,6,9,0,0,0,2,4,5,5,5,5,10,12,13,15,13,12,10,10,6,6,6,6,12,15,1
1,109,1,1,12,12,9,1,6,9,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,12,1
